Grouped_Date,Avg_Temp,Avg_Sal,Avg_Oxy,Avg_Phosphorus,Avg_Nitrous,Avg_Nitric,Avg_Silicon
2000-01-04,15.484,34.22,5.582,0.397,0.68,7.218,8.15
2000-01-05,14.8,34.14,5.5,0.47,0.68,7.55,8.89
2000-02-09,13.012,34.124,5.897,0.212,0.44,1.828,12.354
2000-02-10,12.195,34.179,6.048,0.122,0.396,2.908,10.716
2000-02-11,8.54,34.163,6.273,0.025,0.77,2.895,11.275
2000-02-12,15.497,34.446,5.574,0.108,0.395,2.577,10.622
2000-02-13,13.37,34.013,5.791,0.258,0.172,2.364,13.24
2000-02-14,11.82,34.003,6.007,0.29,0.187,3.38,12.44
2000-02-16,8.09,33.939,6.17,,,,
2000-02-18,11.244,34.198,5.898,0.022,0.732,3.316,11.442
2000-02-22,4.761,32.124,7.082,0.438,0.465,7.32,6.942
2000-02-23,9.379,33.148,6.148,0.389,0.576,4.639,10.181
2000-02-29,9.748,33.267,6.24,0.394,0.493,6.106,8.382
2000-03-01,9.332,33.297,6.163,0.601,0.464,5.52,10.374
2000-03-02,8.524,32.871,6.221,0.765,0.4,6.04,9.13
2000-03-03,11.635,34.338,6.045,0.113,0.363,3.9,12.737
2000-03-04,12.877,34.468,5.966,0.084,0.55,2.724,11.6
2000-03-05,12.968,34.46,6.175,0.08,0.567,1.41,9.287
2000-04-03,13.189,34.407,6.491,0.042,0.12,3.23,2.708
2000-04-04,12.153,34.168,6.152,0.097,0.306,2.478,7.36
2000-04-06,10.643,34.36,6.19,0.325,0.235,3.565,16.355
2000-04-07,14.576,34.184,5.791,0.087,0.27,2.088,5.038
2000-04-08,11.785,33.699,6.311,0.239,0.184,2.549,10.313
2000-04-09,11.124,34.249,6.188,0.281,0.211,3.81,12.396
2000-04-14,11.534,34.344,6.356,0.36,0.333,3.63,15.683
2000-04-15,11.949,34.396,6.434,0.276,0.28,3.828,16.404
2000-04-16,12.841,34.428,6.208,0.18,0.33,3.88,17.232
2000-04-17,12.929,34.436,6.195,0.197,0.35,5.093,19.613
2000-04-18,14.36,34.59,6.19,,,,
2000-04-19,8.837,32.56,7.12,0.89,0.41,8.54,9.96
2000-04-20,9.236,32.696,7.296,0.732,0.572,4.005,7.403
2000-04-24,11.458,33.253,6.896,0.353,0.353,3.614,10.37
2000-04-25,8.819,32.286,7.35,0.522,0.442,0.556,0.942
2000-04-28,9.398,32.209,7.226,0.528,0.538,1.142,2.09
2000-04-29,8.796,31.81,7.426,0.547,1.123,3.78,1.767
2000-05-23,20.458,32.058,5.996,0.302,2.494,,6.232
2000-05-24,20.35,32.08,5.595,0.365,2.53,,7.87
2000-05-25,21.267,33.48,5.743,0.46,2.432,,4.88
2000-05-26,21.265,33.125,5.635,0.95,0.82,,6.69
2000-06-07,16.225,33.377,6.065,0.39,0.615,2.963,4.62
2000-06-08,18.01,34.025,5.681,0.384,0.57,3.654,4.846
2000-06-09,18.038,32.085,5.746,0.118,0.455,0.928,0.632
2000-06-10,16.536,33.511,5.795,0.385,0.505,2.978,3.665
2000-06-11,19.302,32.065,5.69,0.21,0.227,0.608,1.233
2000-06-12,18.147,33.363,5.629,0.326,0.508,2.659,4.921
2000-06-13,18.32,33.557,5.611,0.235,0.457,2.965,4.575
2000-06-14,18.659,33.088,5.704,0.035,0.137,3.807,3.037
2000-06-15,18.084,33.196,5.839,0.47,0.655,2.391,5.915
2000-06-16,20.355,32.618,5.532,0.164,0.2,1.578,2.187
2000-06-17,20.239,32.134,5.477,0.155,0.15,2.925,5.155
2000-06-19,17.938,32.827,5.855,0.15,0.23,3.35,3.245
2000-08-01,24.576,32.158,5.086,0.086,0.186,6.084,1.436
2000-08-02,25.194,32.458,5.132,0.175,0.151,2.246,5.229
2000-08-03,25.92,32.0,5.388,0.18,0.105,1.199,8.342
2000-08-04,29.128,29.085,4.758,0.15,0.058,0.996,7.64
2000-08-05,26.745,32.187,4.947,0.237,0.135,1.537,7.013
2000-08-06,26.195,31.436,5.031,0.168,0.095,1.434,9.184
2000-08-07,25.532,31.855,4.952,0.148,0.478,2.528,7.542
2000-08-08,25.209,32.406,4.781,0.175,0.417,0.914,11.41
2000-08-09,24.937,32.377,5.185,0.264,0.316,1.366,13.42
2000-08-10,24.62,32.777,4.939,0.3,0.103,1.035,19.422
2000-08-11,27.005,31.81,4.836,0.175,0.452,0.697,6.123
2000-08-12,27.587,31.992,5.123,0.103,0.412,0.18,3.24
2000-08-14,26.06,31.906,4.845,0.09,0.495,0.488,4.92
2000-08-15,27.68,31.432,4.592,0.13,0.917,0.41,4.74
2000-08-24,25.304,33.574,,,,,
2000-08-25,26.376,33.117,,,,,
2000-08-28,25.677,32.707,,,,,
2000-10-05,20.378,31.611,5.271,0.41,0.798,2.207,4.862
2000-10-06,19.727,31.345,5.343,0.25,1.19,1.54,8.25
2000-10-07,20.199,31.675,5.535,0.669,0.888,0.874,6.293
2000-10-08,19.751,32.464,5.667,0.436,0.97,1.238,11.889
2000-10-09,19.563,32.013,5.563,0.405,0.8,0.715,9.675
2000-10-10,20.723,32.079,5.388,0.426,0.862,0.572,8.377
2000-10-11,20.508,32.37,5.372,0.34,0.89,0.683,8.84
2000-10-14,19.55,32.44,5.39,0.065,0.755,0.35,7.54
2000-10-16,20.746,32.666,5.437,0.047,0.793,0.85,8.86
2000-10-17,20.5,32.537,5.243,0.091,0.503,1.756,6.707
2000-10-18,22.651,32.902,5.188,0.06,0.158,2.598,3.733
2000-10-20,20.169,32.441,5.24,0.172,0.22,3.17,5.588
2000-10-22,23.085,33.652,4.865,0.11,0.27,3.26,6.05
2000-10-28,23.326,33.535,4.922,0.127,0.197,2.903,4.41
2000-10-29,21.027,32.588,5.292,0.104,0.261,2.259,6.594
2000-10-30,17.72,32.067,5.578,0.235,0.385,6.32,7.89
2000-11-12,22.692,33.988,4.792,0.375,0.282,2.362,5.54
2000-11-13,20.848,33.457,4.94,0.394,0.471,8.791,13.815
2000-11-14,20.887,33.608,4.902,0.465,0.418,3.005,9.125
2000-12-02,12.809,32.574,5.932,0.307,2.44,1.59,4.823
2000-12-03,12.536,32.922,5.73,0.523,3.037,3.683,5.507
2000-12-06,14.728,33.404,5.587,0.156,0.175,4.416,12.012
2000-12-07,13.844,33.227,5.664,0.281,0.514,2.874,12.517
2000-12-08,14.128,32.992,5.68,0.452,0.604,3.11,8.545
2000-12-09,14.91,33.207,5.483,0.361,0.446,3.492,12.109
2000-12-13,14.001,32.959,5.599,0.12,0.136,8.966,11.698
2000-12-14,16.104,33.872,5.416,0.09,0.303,0.97,18.44
2000-12-15,16.53,34.086,5.014,0.22,0.468,1.962,15.822
2000-12-16,17.136,34.167,5.02,0.243,0.407,1.677,17.703
2000-12-17,16.39,34.127,4.827,0.305,0.65,2.09,17.44
2001-02-09,9.766,34.152,6.091,0.54,0.37,10.126,7.458
2001-02-11,13.71,33.698,5.73,0.447,0.163,8.24,11.592
2001-02-12,16.267,34.213,5.367,0.71,0.295,4.935,6.97
2001-02-13,10.958,33.665,5.966,0.468,0.255,12.037,11.226
2001-02-14,13.987,33.954,5.706,0.53,0.609,4.343,8.763
2001-02-15,13.19,34.23,5.78,0.375,0.56,7.825,12.525
2001-02-17,10.006,33.497,6.214,0.281,0.732,7.438,7.287
2001-02-18,9.064,33.409,6.278,0.357,1.313,5.69,7.634
2001-02-19,11.387,33.771,5.876,0.282,0.754,6.191,7.172
2001-02-20,12.637,33.825,5.746,0.218,0.524,4.734,11.336
2001-02-21,12.35,34.339,5.774,0.17,0.313,10.647,1.637
2001-02-22,10.181,33.598,6.263,0.198,1.169,9.765,6.155
2001-02-23,10.536,33.561,6.026,0.13,1.193,11.22,3.517
2001-04-04,13.579,34.154,6.139,0.537,0.287,6.0,6.237
2001-04-05,15.066,34.234,6.033,0.305,0.26,4.55,6.155
2001-04-06,13.517,33.966,6.101,0.367,0.32,2.287,6.433
2001-04-09,6.511,31.989,7.464,0.206,1.004,7.05,4.754
2001-04-10,9.699,32.549,7.121,0.15,1.502,3.512,1.946
2001-04-11,11.67,33.47,6.375,,,,
2001-04-12,9.737,33.118,6.748,0.112,0.765,5.666,0.854
2001-04-13,10.092,33.132,6.649,0.155,0.452,5.445,1.597
2001-04-14,14.21,34.19,6.12,,,,
2001-04-15,12.089,34.287,6.002,0.225,0.42,7.523,1.327
2001-04-16,11.648,33.354,6.501,0.099,0.447,5.267,1.774
2001-04-17,12.897,33.141,5.769,0.324,0.468,5.458,1.672
2001-04-18,15.228,34.402,5.669,0.37,0.272,5.028,2.308
2001-04-27,13.9,34.41,5.86,0.32,0.21,5.64,0.15
2001-05-25,18.525,32.695,5.67,,,,
2001-05-26,19.211,32.86,5.687,0.125,0.145,1.55,4.78
2001-05-27,18.669,32.981,6.701,,,,
2001-06-04,17.09,34.21,5.718,0.35,0.08,11.585,5.47
2001-06-05,18.568,34.368,5.176,0.19,0.102,11.096,2.426
