Observation Date,Temperature,Salinity,Dissolved Oxygen,On/Off,Probability
2000-01-04,14.62,34.19,5.63,0,0.006
2000-01-04,14.71,34.19,5.61,0,0.0063
2000-01-04,14.91,34.21,5.5,0,0.0068
2000-01-04,15.29,34.15,5.34,0,0.008
2000-01-04,15.51,34.21,5.67,0,0.0082
2000-01-04,16.27,34.28,5.64,0,0.0108
2000-01-04,16.47,34.26,5.58,0,0.0117
2000-01-04,15.61,34.25,5.69,0,0.0085
2000-01-04,15.97,34.24,5.58,0,0.0098
2000-01-05,14.8,34.14,5.5,0,0.0066
2000-02-09,13.12,33.946999999999996,6.01,0,0.0034
2000-02-09,13.48,34.09,5.77,0,0.004
2000-02-09,13.58,34.108000000000004,5.85,0,0.0041
2000-02-09,13.72,34.42,5.74,0,0.0043
2000-02-09,14.24,34.444,5.9,0,0.005
2000-02-09,12.61,34.284,5.89,0,0.0028
2000-02-09,11.0,33.762,6.16,0,0.0016
2000-02-09,12.35,33.938,5.86,0,0.0026
2000-02-10,11.31,34.08,6.03,0,0.0018
2000-02-10,10.71,34.029,6.05,0,0.0014
2000-02-10,13.26,34.268,5.86,0,0.0036
2000-02-10,12.45,34.144,5.92,0,0.0027
2000-02-10,14.4,34.354,6.18,0,0.0051
2000-02-10,15.26,34.537,5.74,0,0.0074
2000-02-10,15.51,34.525,5.78,0,0.008
2000-02-10,14.68,34.44,5.93,0,0.0058
2000-02-10,11.31,34.08,6.03,0,0.0018
2000-02-10,14.01,34.338,5.96,0,0.0046
2000-02-10,10.37,34.023,6.14,0,0.0012
2000-02-10,8.96,33.91,6.12,0,0.0008
2000-02-10,9.91,33.75,6.18,0,0.0011
2000-02-10,11.55,33.692,6.19,0,0.0019
2000-02-10,12.06,33.966,6.24,0,0.0022
2000-02-10,7.72,34.05,6.59,0,0.0005
2000-02-10,13.72,34.199,5.82,0,0.0043
2000-02-10,7.94,34.07,6.48,0,0.0005
2000-02-10,15.68,34.497,5.72,0,0.0086
2000-02-10,8.94,34.14,6.5,0,0.0007
2000-02-10,15.82,34.571,5.86,0,0.0088
2000-02-10,9.24,34.14,6.18,0,0.0008
2000-02-10,15.68,34.32,5.6,0,0.0088
2000-02-11,7.49,34.16,6.39,0,0.0004
2000-02-11,7.47,34.15,6.18,0,0.0004
2000-02-11,10.66,34.18,6.25,0,0.0013
2000-02-12,16.31,34.646,5.48,0,0.0111
2000-02-12,16.15,34.562,5.6,0,0.0103
2000-02-12,12.18,34.14,5.82,0,0.0025
2000-02-12,15.51,34.523,5.52,0,0.0083
2000-02-12,12.01,34.12,5.71,0,0.0024
2000-02-12,16.91,34.537,5.4,0,0.0139
2000-02-12,16.96,34.523,5.37,0,0.0142
2000-02-12,16.69,34.56,5.63,0,0.0124
2000-02-12,16.73,34.59,5.34,0,0.0131
2000-02-12,15.92,34.431999999999995,5.53,0,0.0096
2000-02-12,15.38,34.53,5.82,0,0.0076
2000-02-12,15.21,34.195,5.67,0,0.0074
2000-02-13,14.61,34.117,5.75,0,0.0059
2000-02-13,14.19,34.138000000000005,5.76,0,0.0051
2000-02-13,13.44,33.847,6.01,0,0.0038
2000-02-13,11.76,33.333,5.71,0,0.0022
2000-02-13,12.11,33.567,5.86,0,0.0024
2000-02-13,11.96,33.441,5.93,0,0.0023
2000-02-13,13.2,34.013000000000005,5.91,0,0.0035
2000-02-13,13.23,34.15,5.77,0,0.0036
2000-02-13,13.71,34.246,5.75,0,0.0043
2000-02-13,14.03,34.285,5.76,0,0.0048
2000-02-13,14.09,34.507,5.66,0,0.0049
2000-02-13,14.11,34.518,5.62,0,0.005
2000-02-14,13.17,34.461,5.87,0,0.0035
2000-02-14,12.2,34.135999999999996,5.97,0,0.0024
2000-02-14,11.99,33.745,5.97,0,0.0023
2000-02-14,9.92,33.668,6.22,0,0.0011
2000-02-16,8.85,33.882,6.11,0,0.0007
2000-02-16,7.33,33.997,6.23,0,0.0004
2000-02-18,10.79,34.16,5.84,0,0.0015
2000-02-18,10.82,34.21,5.86,0,0.0015
2000-02-18,10.77,34.25,5.86,0,0.0015
2000-02-18,10.89,34.29,6.28,0,0.0015
2000-02-18,11.12,34.24,6.27,0,0.0016
2000-02-18,11.48,34.18,5.91,0,0.0019
2000-02-18,11.67,34.12,5.56,0,0.0022
2000-02-18,12.41,34.13,5.6,0,0.0028
2000-02-22,2.79,31.354,7.55,0,0.0001
2000-02-22,3.38,31.794,7.37,0,0.0001
2000-02-22,3.82,31.965999999999998,7.27,0,0.0001
2000-02-22,4.48,32.176,7.13,0,0.0001
2000-02-22,5.23,32.4,7.01,0,0.0002
2000-02-22,5.89,32.491,6.89,0,0.0002
2000-02-22,6.16,32.465,6.8,0,0.0003
2000-02-22,6.34,32.348,6.64,0,0.0003
2000-02-23,6.45,32.409,6.82,0,0.0003
2000-02-23,6.59,32.54,6.6,0,0.0003
2000-02-23,6.5,32.532,6.62,0,0.0003
2000-02-23,16.05,34.12,5.15,0,0.0108
2000-02-23,6.37,32.54,6.62,0,0.0003
2000-02-23,5.09,32.339,6.8,0,0.0002
2000-02-23,4.94,32.241,6.95,0,0.0002
2000-02-23,14.82,33.95,4.98,0,0.0072
2000-02-23,4.46,32.037,7.11,0,0.0001
2000-02-23,14.14,33.88,5.47,0,0.0053
2000-02-23,4.46,31.95300000000001,7.23,0,0.0001
2000-02-23,4.04,31.756999999999998,7.17,0,0.0001
2000-02-23,13.4,33.76,5.31,0,0.0042
2000-02-23,4.17,31.829,7.07,0,0.0001
2000-02-23,10.94,34.25,5.81,0,0.0016
2000-02-23,11.34,33.07,5.72,0,0.0019
2000-02-23,11.03,34.27,5.83,0,0.0016
2000-02-23,11.19,34.23,5.83,0,0.0017
2000-02-23,10.36,32.8,6.37,0,0.0012
2000-02-23,11.43,34.28,6.02,0,0.0018
2000-02-23,9.85,32.48,6.41,0,0.001
2000-02-23,11.37,34.29,6.09,0,0.0018
2000-02-23,9.94,32.5,4.58,0,0.0014
2000-02-23,11.35,34.13,5.71,0,0.0019
2000-02-23,9.91,32.82,6.33,0,0.0011
2000-02-23,11.44,34.15,5.64,0,0.002
2000-02-23,10.03,32.75,6.08,0,0.0012
2000-02-23,10.94,34.25,5.81,0,0.0016
2000-02-29,3.87,31.743000000000002,7.1,0,0.0001
2000-02-29,11.07,34.19,5.58,0,0.0017
2000-02-29,16.28,34.67,4.94,0,0.0119
2000-02-29,5.01,32.086,7.13,0,0.0002
2000-02-29,5.04,32.123000000000005,7.29,0,0.0002
2000-02-29,11.09,34.18,5.81,0,0.0017
2000-02-29,16.57,34.6,5.88,0,0.0114
2000-02-29,5.53,32.189,7.06,0,0.0002
2000-02-29,6.02,32.454,6.84,0,0.0002
2000-02-29,11.02,34.17,5.9,0,0.0016
2000-02-29,16.31,34.21,4.94,0,0.0122
2000-02-29,5.81,32.428000000000004,6.84,0,0.0002
2000-02-29,10.69,34.18,6.01,0,0.0014
2000-02-29,14.67,33.72,5.72,0,0.0061
2000-02-29,6.6,32.545,6.88,0,0.0003
2000-02-29,6.81,32.579,6.67,0,0.0003
2000-02-29,9.44,34.17,6.25,0,0.0009
2000-02-29,13.89,32.68,5.86,0,0.0047
2000-02-29,7.01,32.605,6.5,0,0.0004
2000-02-29,12.57,33.52,5.55,0,0.003
2000-02-29,6.88,32.56,6.5,0,0.0004
2000-02-29,11.09,34.28,5.87,0,0.0017
2000-02-29,10.94,33.25,6.41,0,0.0015
2000-03-01,10.04,34.22,5.94,0,0.0011
2000-03-01,7.23,32.611,6.41,0,0.0004
2000-03-01,9.67,32.82,6.37,0,0.001
2000-03-01,7.1,32.625,6.42,0,0.0004
2000-03-01,10.66,34.17,5.91,0,0.0014
2000-03-01,8.99,32.43,6.41,0,0.0008
2000-03-01,6.89,32.6,6.53,0,0.0004
2000-03-01,10.88,34.17,5.63,0,0.0016
2000-03-01,10.88,34.17,5.63,0,0.0016
2000-03-01,6.56,32.543,6.63,0,0.0003
2000-03-01,8.59,32.79,6.33,0,0.0007
2000-03-01,6.17,32.454,6.69,0,0.0003
2000-03-01,10.99,34.17,5.66,0,0.0017
2000-03-01,5.96,32.407,6.72,0,0.0002
2000-03-01,8.53,32.9,6.45,0,0.0006
2000-03-01,5.68,32.323,6.78,0,0.0002
2000-03-01,8.76,33.176,5.99,0,0.0007
2000-03-01,10.9,34.21,5.79,0,0.0016
2000-03-01,4.61,32.107,6.79,0,0.0002
2000-03-01,8.13,32.43,6.06,0,0.0006
